A      1ALIMENTARY TRACT AND METABOLISM                                                                               
J05AH  4NEURAMINIDASE INHIBITORS                                                                                      
J05AJ  4INTEGRASE INHIBITORS                                                                                          
J05AP  4ANTIVIRALS FOR TREATMENT OF HCV INFECTIONS                                                                    
J05AR  4ANTIVIRALS FOR TREATMENT OF HIV INFECTIONS, COMBINATIONS                                                      
J05AX  4OTHER ANTIVIRALS                                                                                              
J05W   3HERBAL ANTIVIRALS FOR SYSTEMIC USE                                                                            
J05WA  4HERBAL ANTIVIRALS FOR SYSTEMIC USE                                                                            
J06    2IMMUNE SERA AND IMMUNOGLOBULINS                                                                               
J06A   3IMMUNE SERA                                                                                                   
J06AA  4IMMUNE SERA                                                                                                   
J06B   3IMMUNOGLOBULINS                                                                                               
J06BA  4IMMUNOGLOBULINS, NORMAL HUMAN                                                                                 
J06BB  4SPECIFIC IMMUNOGLOBULINS                                                                                      
J06BC  4ANTIBACTERIAL MONOCLONAL ANTIBODIES                                                                           
J06BD  4ANTIVIRAL MONOCLONAL ANTIBODIES                                                                               
J07    2VACCINES                                                                                                      
J07A   3BACTERIAL VACCINES                                                                                            
J07AC  4ANTHRAX VACCINES                                                                                              
J07AD  4BRUCELLOSIS VACCINES                                                                                          
J07AE  4CHOLERA VACCINES                                                                                              
J07AF  4DIPHTHERIA VACCINES                                                                                           
J07AG  4HEMOPHILUS INFLUENZAE B VACCINES                                                                              
J07AH  4MENINGOCOCCAL VACCINES                                                                                        
J07AJ  4PERTUSSIS VACCINES                                                                                            
J07AK  4PLAGUE VACCINES                                                                                               
J07AL  4PNEUMOCOCCAL VACCINES                                                                                         
J07AM  4TETANUS VACCINES                                                                                              
J07AN  4TUBERCULOSIS VACCINES                                                                                         
J07AP  4TYPHOID VACCINES                                                                                              
J07AR  4TYPHUS (EXANTHEMATICUS) VACCINES                                                                              
J07AX  4OTHER BACTERIAL VACCINES                                                                                      
J07B   3VIRAL VACCINES                                                                                                
J07BA  4ENCEPHALITIS VACCINES                                                                                         
J07BB  4INFLUENZA VACCINES                                                                                            
J07BC  4HEPATITIS VACCINES                                                                                            
J07BD  4MEASLES VACCINES                                                                                              
J07BE  4MUMPS VACCINES                                                                                                
J07BF  4POLIOMYELITIS VACCINES                                                                                        
J07BG  4RABIES VACCINES                                                                                               
J07BH  4ROTA VIRUS DIARRHEA VACCINES                                                                                  
J07BJ  4RUBELLA VACCINES                                                                                              
J07BK  4VARICELLA ZOSTER VACCINES                                                                                     
J07BL  4YELLOW FEVER VACCINES                                                                                         
J07BM  4PAPILLOMAVIRUS VACCINES                                                                                       
J07BN  4COVID-19 VACCINES                                                                                             
J07BX  4OTHER VIRAL VACCINES                                                                                          
J07C   3BACTERIAL AND VIRAL VACCINES, COMBINED                                                                        
J07CA  4BACTERIAL AND VIRAL VACCINES, COMBINED                                                                        
J07X   3OTHER VACCINES                                                                                                
J07XA  4PARASITIC VACCINES                                                                                            
L      1ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS                                                                    
L01    2ANTINEOPLASTIC AGENTS                                                                                         
L01A   3ALKYLATING AGENTS                                                                                             
L01AA  4NITROGEN MUSTARD ANALOGUES                                                                                    
L01AB  4ALKYL SULFONATES                                                                                              
L01AC  4ETHYLENE IMINES                                                                                               
L01AD  4NITROSOUREAS                                                                                                  
L01AG  4EPOXIDES                                                                                                      
L01AX  4OTHER ALKYLATING AGENTS                                                                                       
L01B   3ANTIMETABOLITES                                                                                               
L01BA  4FOLIC ACID ANALOGUES                                                                                          
L01BB  4PURINE ANALOGUES                                                                                              
L01BC  4PYRIMIDINE ANALOGUES                                                                                          
L01C   3PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS                                                                    
L01CA  4VINCA ALKALOIDS AND ANALOGUES                                                                                 
L01CB  4PODOPHYLLOTOXIN DERIVATIVES                                                                                   
L01CC  4COLCHICINE DERIVATIVES                                                                                        
L01CD  4TAXANES                                                                                                       
L01CE  4TOPOISOMERASE 1 (TOP1) INHIBITORS                                                                             
L01CW  4HERBAL ANTICANCER REMEDIES                                                                                    
L01CX  4OTHER PLANT ALKALOIDS AND NATURAL PRODUCTS                                                                    
L01D   3CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES                                                                  
L01DA  4ACTINOMYCINES                                                                                                 
L01DB  4ANTHRACYCLINES AND RELATED SUBSTANCES                                                                         
L01DC  4OTHER CYTOTOXIC ANTIBIOTICS                                                                                   
L01E   3PROTEIN KINASE INHIBITORS                                                                                     
L01EA  4BCR-ABL TYROSINE KINASE INHIBITORS                                                                            
L01EB  4EPIDERMAL GROWTH FACTOR RECEPTOR (EGFR) TYROSINE KINASE INHIBITORS                                            
L01EC  4B-RAF SERINE-THREONINE KINASE (BRAF) INHIBITORS                                                               
L01ED  4ANAPLASTIC LYMPHOMA KINASE (ALK) INHIBITORS                                                                   
L01EE  4MITOGEN-ACTIVATED PROTEIN KINASE (MEK) INHIBITORS                                                             
L01EF  4CYCLIN-DEPENDENT KINASE (CDK) INHIBITORS                                                                      
L01EG  4MAMMALIAN TARGET OF RAPAMYCIN (MTOR) KINASE INHIBITORS                                                        
L01EH  4HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2 (HER2) TYROSINE KINASE INHIBITORS                                    
L01EJ  4JANUS-ASSOCIATED KINASE (JAK) INHIBITORS                                                                      
L01EK  4VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR (VEGFR) TYROSINE KINASE INHIBITORS                                
L01EL  4BRUTON'S TYROSINE KINASE (BTK) INHIBITORS                                                                     
L01EM  4PHOSPHATIDYLINOSITOL-3-KINASE (PI3K) INHIBITORS                                                               
L01EN  4FIBROBLAST GROWTH FACTOR RECEPTOR (FGFR) TYROSINE KINASE INHIBITORS                                           
L01EX  4OTHER PROTEIN KINASE INHIBITORS                                                                               
L01F   3MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES                                                            
L01FA  4CD20 (CLUSTERS OF DIFFERENTIATION 20) INHIBITORS                                                              
L01FB  4CD22 (CLUSTERS OF DIFFERENTIATION 22) INHIBITORS                                                              
L01FC  4CD38 (CLUSTERS OF DIFFERENTIATION 38) INHIBITORS                                                              
L01FD  4HER2 (HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2) INHIBITORS                                                    
L01FE  4EGFR (EPIDERMAL GROWTH FACTOR RECEPTOR) INHIBITORS                                                            
L01FF  4PD-1/PDL-1 (PROGRAMMED CELL DEATH PROTEIN 1/DEATH LIGAND 1) INHIBITORS                                        
L01FG  4VEGF/VEGFR (VASCULAR ENDOTHELIAL GROWTH FACTOR) INHIBITORS                                                    
L01FX  4OTHER MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES                                                      
L01FY  4COMBINATIONS OF MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES                                            
L01X   3OTHER ANTINEOPLASTIC AGENTS                                                                                   
L01XA  4PLATINUM COMPOUNDS                                                                                            
L01XB  4METHYLHYDRAZINES                                                                                              
L01XD  4SENSITIZERS USED IN PHOTODYNAMIC/RADIATION THERAPY                                                            
L01XF  4RETINOIDS FOR CANCER TREATMENT                                                                                
L01XG  4PROTEASOME INHIBITORS                                                                                         
L01XH  4HISTONE DEACETYLASE (HDAC) INHIBITORS                                                                         
L01XJ  4HEDGEHOG PATHWAY INHIBITORS                                                                                   
L01XK  4POLY (ADP-RIBOSE) POLYMERASE (PARP) INHIBITORS                                                                
L01XL  4ANTINEOPLASTIC CELL AND GENE THERAPY                                                                          
L01XM  4ISOCITRATE DEHYDROGENASE (IDH) INHIBITORS                                                                     
L01XU  4OTHER ANTINEOPLASTIC AGENTS (CONT.)                                                                           
L01XX  4OTHER ANTINEOPLASTIC AGENTS                                                                                   
L01XY  4COMBINATIONS OF ANTINEOPLASTIC AGENTS                                                                         
L02    2ENDOCRINE THERAPY                                                                                             
L02A   3HORMONES AND RELATED AGENTS                                                                                   
L02AA  4ESTROGENS                                                                                                     
L02AB  4PROGESTOGENS                                                                                                  
L02AE  4GONADOTROPIN RELEASING HORMONE ANALOGUES                                                                      
L02AX  4OTHER HORMONES                                                                                                
L02B   3HORMONE ANTAGONISTS AND RELATED AGENTS                                                                        
L02BA  4ANTI-ESTROGENS                                                                                                
L02BB  4ANTI-ANDROGENS                                                                                                
L02BG  4AROMATASE INHIBITORS                                                                                          
L02BX  4OTHER HORMONE ANTAGONISTS AND RELATED AGENTS                                                                  
L03    2IMMUNOSTIMULANTS                                                                                              
L03A   3IMMUNOSTIMULANTS                                                                                              
L03AA  4COLONY STIMULATING FACTORS                                                                                    
L03AB  4INTERFERONS                                                                                                   
L03AC  4INTERLEUKINS                                                                                                  
L03AW  4HERBAL IMMUNOMODULATORS                                                                                       
L03AX  4OTHER IMMUNOSTIMULANTS                                                                                        
L04    2IMMUNOSUPPRESSANTS                                                                                            
L04A   3IMMUNOSUPPRESSANTS                                                                                            
L04AA  4SELECTIVE IMMUNOSUPPRESSANTS                                                                                  
L04AB  4TUMOR NECROSIS FACTOR ALPHA (TNF-) INHIBITORS                                                                 
L04AC  4INTERLEUKIN INHIBITORS                                                                                        
L04AD  4CALCINEURIN INHIBITORS                                                                                        
L04AE  4SPHINGOSINE-1-PHOSPHATE (S1P) RECEPTOR MODULATORS                                                             
L04AF  4JANUS-ASSOCIATED KINASE (JAK) INHIBITORS                                                                      
L04AG  4MONOCLONAL ANTIBODIES                                                                                         
L04AH  4MAMMALIAN TARGET OF RAPAMYCIN (MTOR) KINASE INHIBITORS                                                        
L04AJ  4COMPLEMENT INHIBITORS                                                                                         
L04AK  4DIHYDROOROTATE DEHYDROGENASE (DHODH) INHIBITORS                                                               
L04AX  4OTHER IMMUNOSUPPRESSANTS                                                                                      
M      1MUSCULO-SKELETAL SYSTEM                                                                                       
M01    2ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS                                                                   
M01A   3ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS                                                     
M01AA  4BUTYLPYRAZOLIDINES                                                                                            
M01AB  4ACETIC ACID DERIVATIVES AND RELATED SUBSTANCES                                                                
M01AC  4OXICAMS                                                                                                       
M01AE  4PROPIONIC ACID DERIVATIVES                                                                                    
M01AG  4FENAMATES                                                                                                     
M01AH  4COXIBS                                                                                                        
M01AW  4HERBAL ANTIINFLAMMATORY AND ANTIRHEUMATIC REMEDIES                                                            
M01AX  4OTHER ANTIINFLAMMATORY AND ANTIRHEUMATIC AGENTS, NON-STEROIDS                                                 
M01B   3ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION                                                          
M01BA  4ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION WITH CORTICOSTEROIDS                                     
M01BX  4OTHER ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION WITH OTHER DRUGS                                   
M01C   3SPECIFIC ANTIRHEUMATIC AGENTS                                                                                 
M01CA  4QUINOLINES                                                                                                    
M01CB  4GOLD PREPARATIONS                                                                                             
M01CC  4PENICILLAMINE AND SIMILAR AGENTS                                                                              
M01CX  4OTHER SPECIFIC ANTIRHEUMATIC AGENTS                                                                           
M02    2TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN                                                                  
M02A   3TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN                                                                  
M02AA  4ANTIINFLAMMATORY PREPARATIONS, NON-STEROIDS FOR TOPICAL USE                                                   
M02AB  4CAPSAICIN AND SIMILAR AGENTS                                                                                  
M02AC  4PREPARATIONS WITH SALICYLIC ACID DERIVATIVES                                                                  
M02AW  4HERBAL TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN CONTAINING OR CONSTITUTING ESSENTIAL OILS                 
M02AX  4OTHER TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN                                                            
M03    2MUSCLE RELAXANTS                                                                                              
M03A   3MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS                                                                  
M03AA  4CURARE ALKALOIDS                                                                                              
M03AB  4CHOLINE DERIVATIVES                                                                                           
M03AC  4OTHER QUATERNARY AMMONIUM COMPOUNDS                                                                           
M03AX  4OTHER MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS                                                            
M03B   3MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS                                                                     
M03BA  4CARBAMIC ACID ESTERS                                                                                          
M03BB  4OXAZOL, THIAZINE, AND TRIAZINE DERIVATIVES                                                                    
M03BC  4ETHERS, CHEMICALLY CLOSE TO ANTIHISTAMINES                                                                    
M03BX  4OTHER CENTRALLY ACTING AGENTS                                                                                 
M03C   3MUSCLE RELAXANTS, DIRECTLY ACTING AGENTS                                                                      
M03CA  4DANTROLENE AND DERIVATIVES                                                                                    
M04    2ANTIGOUT PREPARATIONS                                                                                         
M04A   3ANTIGOUT PREPARATIONS                                                                                         
M04AA  4PREPARATIONS INHIBITING URIC ACID PRODUCTION                                                                  
M04AB  4PREPARATIONS INCREASING URIC ACID EXCRETION                                                                   
M04AC  4PREPARATIONS WITH NO EFFECT ON URIC ACID METABOLISM                                                           
M04AX  4OTHER ANTIGOUT PREPARATIONS                                                                                   
M05    2DRUGS FOR TREATMENT OF BONE DISEASES                                                                          
M05B   3DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION                                                             
M05BA  4BISPHOSPHONATES                                                                                               
M05BB  4BISPHOSPHONATES, COMBINATIONS                                                                                 
M05BC  4BONE MORPHOGENETIC PROTEINS                                                                                   
M05BW  4HERBAL HEALING OF FRACTURED BONES                                                                             
M05BX  4OTHER DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION                                                       
M09    2OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM                                                      
M09A   3OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM                                                      
M09AA  4QUININE AND DERIVATIVES                                                                                       
M09AB  4ENZYMES                                                                                                       
M09AX  4OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM                                                      
N      1NERVOUS SYSTEM                                                                                                
N01    2ANESTHETICS                                                                                                   
N01A   3ANESTHETICS, GENERAL                                                                                          
N01AA  4ETHERS                                                                                                        
N01AB  4HALOGENATED HYDROCARBONS                                                                                      
N01AF  4BARBITURATES, PLAIN                                                                                           
N01AG  4BARBITURATES IN COMBINATION WITH OTHER DRUGS                                                                  
N01AH  4OPIOID ANESTHETICS                                                                                            
N01AX  4OTHER GENERAL ANESTHETICS                                                                                     
N01B   3ANESTHETICS, LOCAL                                                                                            
N01BA  4ESTERS OF AMINOBENZOIC ACID                                                                                   
N01BB  4AMIDES                                                                                                        
N01BC  4ESTERS OF BENZOIC ACID                                                                                        
N01BW  4HERBAL LOCAL ANESTHETICS FOR DENTAL PRACTICE                                                                  
N01BX  4OTHER LOCAL ANESTHETICS                                                                                       
N02    2ANALGESICS                                                                                                    
N02A   3OPIOIDS                                                                                                       
N02AA  4NATURAL OPIUM ALKALOIDS                                                                                       
N02AB  4PHENYLPIPERIDINE DERIVATIVES                                                                                  
N02AC  4DIPHENYLPROPYLAMINE DERIVATIVES                                                                               
N02AD  4BENZOMORPHAN DERIVATIVES                                                                                      
N02AE  4ORIPAVINE DERIVATIVES                                                                                         
N02AF  4MORPHINAN DERIVATIVES                                                                                         
N02AG  4OPIOIDS IN COMBINATION WITH ANTISPASMODICS                                                                    
N02AJ  4OPIOIDS IN COMBINATION WITH NON-OPIOID ANALGESICS                                                             
N02AX  4OTHER OPIOIDS                                                                                                 
N02B   3OTHER ANALGESICS AND ANTIPYRETICS                                                                             
N02BA  4SALICYLIC ACID AND DERIVATIVES                                                                                
N02BB  4PYRAZOLONES                                                                                                   
N02BE  4ANILIDES                                                                                                      
N02BF  4GABAPENTINOIDS                                                                                                
N02BG  4OTHER ANALGESICS AND ANTIPYRETICS                                                                             
N02BW  4HERBAL ANALGESICS AND ANTIPYRETICS CONTAINING ALKALOIDS                                                       
N02C   3ANTIMIGRAINE PREPARATIONS                                                                                     
N02CA  4ERGOT ALKALOIDS                                                                                               
N02CB  4CORTICOSTEROID DERIVATIVES                                                                                    
N02CC  4SELECTIVE SEROTONIN (5HT1) AGONISTS                                                                           
N02CD  4CALCITONIN GENE-RELATED PEPTIDE (CGRP) ANTAGONISTS                                                            
N02CW  4HERBAL ANTIMIGRAINE REMEDIES                                                                                  
N02CX  4OTHER ANTIMIGRAINE PREPARATIONS                                                                               
N03    2ANTIEPILEPTICS                                                                                                
N03A   3ANTIEPILEPTICS                                                                                                
N03AA  4BARBITURATES AND DERIVATIVES                                                                                  
N03AB  4HYDANTOIN DERIVATIVES                                                                                         
N03AC  4OXAZOLIDINE DERIVATIVES                                                                                       
N03AD  4SUCCINIMIDE DERIVATIVES                                                                                       
N03AE  4BENZODIAZEPINE DERIVATIVES                                                                                    
N03AF  4CARBOXAMIDE DERIVATIVES                                                                                       
N03AG  4FATTY ACID DERIVATIVES                                                                                        
N03AW  4HERBAL ANTIEPILEPTICS                                                                                         
N03AX  4OTHER ANTIEPILEPTICS                                                                                          
N04    2ANTI-PARKINSON DRUGS                                                                                          
N04A   3ANTICHOLINERGIC AGENTS                                                                                        
N04AA  4TERTIARY AMINES                                                                                               
N04AB  4ETHERS CHEMICALLY CLOSE TO ANTIHISTAMINES                                                                     
N04AC  4ETHERS OF TROPINE OR TROPINE DERIVATIVES                                                                      
N04B   3DOPAMINERGIC AGENTS                                                                                           
N04BA  4DOPA AND DOPA DERIVATIVES                                                                                     
N04BB  4ADAMANTANE DERIVATIVES                                                                                        
N04BC  4DOPAMINE AGONISTS                                                                                             
N04BD  4MONOAMINE OXIDASE B INHIBITORS                                                                                
N04BX  4OTHER DOPAMINERGIC AGENTS                                                                                     
N04C   3OTHER ANTIPARKINSON DRUGS                                                                                     
N04CW  4HERBAL ANTIPARKINSON DRUGS                                                                                    
N04CX  4OTHER ANTIPARKINSON DRUGS                                                                                     
N05    2PSYCHOLEPTICS                                                                                                 
N05A   3ANTIPSYCHOTICS                                                                                                
N05AA  4PHENOTHIAZINES WITH ALIPHATIC SIDE-CHAIN                                                                      
N05AB  4PHENOTHIAZINES WITH PIPERAZINE STRUCTURE                                                                      
N05AC  4PHENOTHIAZINES WITH PIPERIDINE STRUCTURE                                                                      
N05AD  4BUTYROPHENONE DERIVATIVES                                                                                     
N05AE  4INDOLE DERIVATIVES                                                                                            
N05AF  4THIOXANTHENE DERIVATIVES                                                                                      
N05AG  4DIPHENYLBUTYLPIPERIDINE DERIVATIVES                                                                           
N05AH  4DIAZEPINES, OXAZEPINES, THIAZEPINES AND OXEPINES                                                              
N05AL  4BENZAMIDES                                                                                                    
N05AN  4LITHIUM                                                                                                       
N05AX  4OTHER ANTIPSYCHOTICS                                                                                          
N05B   3ANXIOLYTICS                                                                                                   
N05BA  4BENZODIAZEPINE DERIVATIVES                                                                                    
N05BB  4DIPHENYLMETHANE DERIVATIVES                                                                                   
N05BC  4CARBAMATES                                                                                                    
N05BD  4DIBENZO-BICYCLO-OCTADIENE DERIVATIVES                                                                         
N05BE  4AZASPIRODECANEDIONE DERIVATIVES                                                                               
N05BW  4HERBAL ANXIOLYTICS                                                                                            
N05BX  4OTHER ANXIOLYTICS                                                                                             
N05C   3HYPNOTICS AND SEDATIVES                                                                                       
N05CA  4BARBITURATES, PLAIN                                                                                           
N05CB  4BARBITURATES, COMBINATIONS                                                                                    
N05CC  4ALDEHYDES AND DERIVATIVES                                                                                     
N05CD  4BENZODIAZEPINE DERIVATIVES                                                                                    
N05CE  4PIPERIDINEDIONE DERIVATIVES                                                                                   
N05CF  4BENZODIAZEPINE RELATED DRUGS                                                                                  
N05CH  4MELATONIN RECEPTOR AGONISTS                                                                                   
N05CJ  4OREXIN RECEPTOR ANTAGONISTS                                                                                   
N05CM  4OTHER HYPNOTICS AND SEDATIVES                                                                                 
N05CW  4HERBAL HYPNOTICS AND SEDATIVES CONTAINING ALKALOIDS                                                           
N05CX  4HYPNOTICS AND SEDATIVES IN COMBINATION, EXCL. BARBITURATES                                                    
N06    2PSYCHOANALEPTICS                                                                                              
N06A   3ANTIDEPRESSANTS                                                                                               
N06AA  4NON-SELECTIVE MONOAMINE REUPTAKE INHIBITORS                                                                   
N06AB  4SELECTIVE SEROTONIN REUPTAKE INHIBITORS                                                                       
N06AF  4MONOAMINE OXIDASE INHIBITORS, NON-SELECTIVE                                                                   
N06AG  4MONOAMINE OXIDASE A INHIBITORS                                                                                
N06AW  4HERBAL ANTIDEPRESSANTS                                                                                        
N06AX  4OTHER ANTIDEPRESSANTS                                                                                         
N06B   3PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS                                                         
N06BA  4CENTRALLY ACTING SYMPATHOMIMETICS                                                                             
N06BC  4XANTHINE DERIVATIVES                                                                                          
N06BX  4OTHER PSYCHOSTIMULANTS AND NOOTROPICS                                                                         
N06C   3PSYCHOLEPTICS AND PSYCHOANALEPTICS IN COMBINATION                                                             
N06CA  4ANTIDEPRESSANTS IN COMBINATION WITH PSYCHOLEPTICS                                                             
N06CB  4PSYCHOSTIMULANTS IN COMBINATION WITH PSYCHOLEPTICS                                                            
N06D   3ANTI-DEMENTIA DRUGS                                                                                           
N06DA  4ANTICHOLINESTERASES                                                                                           
N06DX  4OTHER ANTI-DEMENTIA DRUGS                                                                                     
N06W   3HERBAL PSYCHOANALEPTICS                                                                                       
N06WA  4HERBAL ADAPTOGENS                                                                                             
N07    2OTHER NERVOUS SYSTEM DRUGS                                                                                    
N07A   3PARASYMPATHOMIMETICS                                                                                          
N07AA  4ANTICHOLINESTERASES                                                                                           
N07AB  4CHOLINE ESTERS                                                                                                
N07AX  4OTHER PARASYMPATHOMIMETICS                                                                                    
N07B   3DRUGS USED IN ADDICTIVE DISORDERS                                                                             
N07BA  4DRUGS USED IN NICOTINE DEPENDENCE                                                                             
N07BB  4DRUGS USED IN ALCOHOL DEPENDENCE                                                                              
N07BC  4DRUGS USED IN OPIOID DEPENDENCE                                                                               
N07C   3ANTIVERTIGO PREPARATIONS                                                                                      
N07CA  4ANTIVERTIGO PREPARATIONS                                                                                      
N07CW  4HERBAL ANTIVERTIGO PREPARATIONS                                                                               
N07X   3OTHER NERVOUS SYSTEM DRUGS                                                                                    
N07XA  4GANGLIOSIDES AND GANGLIOSIDE DERIVATIVES                                                                      
N07XB  4HERBAL NERVOUS SYSTEM DRUGS, OTHER                                                                            
N07XX  4OTHER NERVOUS SYSTEM DRUGS                                                                                    
P      1ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS                                                           
P01    2ANTIPROTOZOALS                                                                                                
P01A   3AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES                                                        
P01AA  4HYDROXYQUINOLINE DERIVATIVES                                                                                  
P01AB  4NITROIMIDAZOLE DERIVATIVES                                                                                    
P01AC  4DICHLOROACETAMIDE DERIVATIVES                                                                                 
P01AR  4ARSENIC COMPOUNDS                                                                                             
P01AW  4HERBAL REMEDIES CONTAINING ALKALOIDS                                                                          
P01AX  4OTHER AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES                                                  
P01B   3ANTIMALARIALS                                                                                                 
P01BA  4AMINOQUINOLINES                                                                                               
P01BB  4BIGUANIDES                                                                                                    
P01BC  4METHANOLQUINOLINES                                                                                            
P01BD  4DIAMINOPYRIMIDINES                                                                                            
P01BE  4ARTEMISININ AND DERIVATIVES, PLAIN                                                                            
P01BF  4ARTEMISININ AND DERIVATIVES, COMBINATIONS                                                                     
P01BW  4HERBAL ANTIMALARIALS                                                                                          
P01BX  4OTHER ANTIMALARIALS                                                                                           
P01C   3AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS                                                              
P01CA  4NITROIMIDAZOLE DERIVATIVES                                                                                    
P01CB  4ANTIMONY COMPOUNDS                                                                                            
P01CC  4NITROFURAN DERIVATIVES                                                                                        
P01CD  4ARSENIC COMPOUNDS                                                                                             
P01CX  4OTHER AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS                                                        
P02    2ANTHELMINTICS                                                                                                 
P02B   3ANTITREMATODALS                                                                                               
P02BA  4QUINOLINE DERIVATIVES AND RELATED SUBSTANCES                                                                  
P02BB  4ORGANOPHOSPHOROUS COMPOUNDS                                                                                   
P02BX  4OTHER ANTITREMATODAL AGENTS                                                                                   
P02C   3ANTINEMATODAL AGENTS                                                                                          
P02CA  4BENZIMIDAZOLE DERIVATIVES                                                                                     
P02CB  4PIPERAZINE AND DERIVATIVES                                                                                    
P02CC  4TETRAHYDROPYRIMIDINE DERIVATIVES                                                                              
P02CE  4IMIDAZOTHIAZOLE DERIVATIVES                                                                                   
P02CF  4AVERMECTINES                                                                                                  
P02CW  4HERBAL ANTINEMATODAL REMEDIES                                                                                 
P02CX  4OTHER ANTINEMATODALS                                                                                          
P02D   3ANTICESTODALS                                                                                                 
P02DA  4SALICYLIC ACID DERIVATIVES                                                                                    
P02DW  4HERBAL ANTICESTODALS                                                                                          
P02DX  4OTHER ANTICESTODALS                                                                                           
P02W   3HERBAL ANTHELMINTICS                                                                                          
P02WA  4HERBAL ANTHELMINTICS                                                                                          
P03    2ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS                                              
P03A   3ECTOPARASITICIDES, INCL. SCABICIDES                                                                           
P03AA  4SULFUR CONTAINING PRODUCTS                                                                                    
P03AB  4CHLORINE CONTAINING PRODUCTS                                                                                  
P03AC  4PYRETHRINES, INCL. SYNTHETIC COMPOUNDS                                                                        
P03AX  4OTHER ECTOPARASITICIDES, INCL. SCABICIDES                                                                     
P03B   3INSECTICIDES AND REPELLENTS                                                                                   
P03BA  4PYRETHRINES                                                                                                   
P03BX  4OTHER INSECTICIDES AND REPELLENTS                                                                             
P04    2HERBAL REMEDIES AGAINST SNAKE BITE                                                                            
P04W   3HERBAL REMEDIES AGAINST SNAKE BITE                                                                            
P04WA  4HERBAL REMEDIES AGAINST SNAKE BITE                                                                            
R      1RESPIRATORY SYSTEM                                                                                            
R01    2NASAL PREPARATIONS                                                                                            
R01A   3DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE                                                    
R01AA  4SYMPATHOMIMETICS, PLAIN                                                                                       
R01AB  4SYMPATHOMIMETICS, COMBINATIONS EXCL. CORTICOSTEROIDS                                                          
R01AC  4ANTIALLERGIC AGENTS, EXCL. CORTICOSTEROIDS                                                                    
R01AD  4CORTICOSTEROIDS                                                                                               
R01AX  4OTHER NASAL PREPARATIONS                                                                                      
R01B   3NASAL DECONGESTANTS FOR SYSTEMIC USE                                                                          
R01BA  4SYMPATHOMIMETICS                                                                                              
R02    2THROAT PREPARATIONS                                                                                           
R02A   3THROAT PREPARATIONS                                                                                           
R02AA  4ANTISEPTICS                                                                                                   
R02AB  4ANTIBIOTICS                                                                                                   
R02AD  4ANESTHETICS, LOCAL                                                                                            
R02AW  4HERBAL THROAT PREPARATIONS (TONSILLITIS)                                                                      
R02AX  4OTHER THROAT PREPARATIONS                                                                                     
R03    2DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES                                                                         
R03A   3ADRENERGICS, INHALANTS                                                                                        
R03AA  4ALPHA- AND BETA-ADRENORECEPTOR AGONISTS                                                                       
R03AB  4NON-SELECTIVE BETA-ADRENORECEPTOR AGONISTS                                                                    
R03AC  4SELECTIVE BETA-2-ADRENORECEPTOR AGONISTS                                                                      
R03AH  4COMBINATIONS OF ADRENERGICS                                                                                   
R03AK  4ADRENERGICS IN COMBINATION WITH CORTICOSTEROIDS OR OTHER DRUGS, EXCL. ANTICHOLINERGICS                        
