A      1ALIMENTARY TRACT AND METABOLISM                                                                               
C05A   3AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE                                         
C05AA  4CORTICOSTEROIDS                                                                                               
C05AB  4ANTIBIOTICS                                                                                                   
C05AD  4LOCAL ANESTHETICS                                                                                             
C05AE  4MUSCLE RELAXANTS                                                                                              
C05AW  4HERBAL ANTIHEMORRHOIDALS FOR TOPICAL USE                                                                      
C05AX  4OTHER AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE                                   
C05B   3ANTIVARICOSE THERAPY                                                                                          
C05BA  4HEPARINS OR HEPARINOIDS FOR TOPICAL USE                                                                       
C05BB  4SCLEROSING AGENTS FOR LOCAL INJECTION                                                                         
C05BW  4HERBAL ANTIVARICOSE REMEDIES                                                                                  
C05BX  4OTHER SCLEROSING AGENTS                                                                                       
C05C   3CAPILLARY STABILIZING AGENTS                                                                                  
C05CA  4BIOFLAVONOIDS                                                                                                 
C05CW  4HERBAL CAPILLARY STABILIZING REMEDIES                                                                         
C05CX  4OTHER CAPILLARY STABILIZING AGENTS                                                                            
C05X   3OTHER VASOPROTECTIVES                                                                                         
C05XX  4OTHER VASOPROTECTIVES                                                                                         
C07    2BETA BLOCKING AGENTS                                                                                          
C07A   3BETA BLOCKING AGENTS                                                                                          
C07AA  4BETA BLOCKING AGENTS, NON-SELECTIVE                                                                           
C07AB  4BETA BLOCKING AGENTS, SELECTIVE                                                                               
C07AG  4ALPHA AND BETA BLOCKING AGENTS                                                                                
